SKU;Total Cost;Stockout Rate;Alpha Service Level;Beta Service Level;Average Inventory Level;Stock Coverage (days)
GRUM26KMW;34397,02;0,0;100,0;100,0;952,01;14,05
GRUW68GNK;20139,19;0,0;100,0;100,0;8820,45;142,86
GSLX00NDE;8977,75;0,0;100,0;100,0;483,13;65,07
GSPG11FMG;5436,07;0,0;100,0;100,0;315,56;38,57
GSWH65QOX;18800,02;0,0;100,0;100,0;1438,86;30,96
GTMS54WYS;27614,64;0,0;100,0;100,0;716,67;14,09
GTVF20BNT;6714,51;41,21;96,97;58,79;182,72;19,26
GULI61IDJ;86082,15;0,0;100,0;100,0;962,01;7,94
GUSZ71BXE;147869,44;17,03;94,44;82,97;6941,37;20,09
GUYI09INC;23066,64;0,0;100,0;100,0;1407,52;46,22
GVFL45RLZ;4358,39;0,0;100,0;100,0;315,76;31,9
GVMB23LHG;8457,39;0,0;100,0;100,0;965,52;88,02
GXLZ95BIB;7195,38;0,0;100,0;100,0;632,61;81,55
GXUY27OKX;194471,17;0,0;100,0;100,0;7642,37;11,99
GYVJ53YTT;41670,66;0,0;100,0;100,0;4596,49;11,81
HAGM08JED;80347,76;2,52;98,99;97,48;1163,43;11,36
HBRR20NFA;104643,06;0,0;100,0;100,0;1856,17;9,57
HBRU63IHL;87895,5;2,38;98,48;97,62;3275,64;18,61
HCAY34CLI;7886,93;0,0;100,0;100,0;702,34;120,3
HCCJ85WIT;13,7;0,0;100,0;100,0;742,85;101,02
HCXC23JBK;2430,23;0,0;100,0;100,0;605,94;169,46
HDIJ21OEK;24020,33;3,9;98,99;96,1;799,53;13,08
HEAC11CHX;7179,18;0,0;100,0;100,0;544,48;51,05
HEBX11TNP;3477,07;0,0;100,0;100,0;732,36;90,18
HEDE46UIT;43716,05;0,0;100,0;100,0;533,51;9,74
HFSA48UZA;83885,96;4,03;98,48;95,97;2650,92;13,98
HGHK36SLL;7430,09;4,88;98,99;95,12;245,98;36,0
HGZW01FRJ;227831,89;6,17;97,47;93,83;10547,29;23,86
HHBY01SXC;395436,72;0,0;100,0;100,0;20584,02;9,59
HHQH93YHL;27549,22;0,0;100,0;100,0;949,55;19,67
HHSY05IZY;10451,17;0,0;100,0;100,0;979,95;18,07
HIIL72RNZ;2,91;0,0;100,0;100,0;124,06;63,97
HISJ17RBJ;28953,57;0,0;100,0;100,0;1403,38;14,24
HJJD34BIQ;37816,03;0,0;100,0;100,0;662,3;16,13
HJRP94FDS;44780,47;0,0;100,0;100,0;5253,74;48,56
HLAH20ISI;115579,56;0,0;100,0;100,0;1010,38;8,38
HLDZ44QZN;8601,39;0,0;100,0;100,0;461,54;54,66
HLUD48LVM;40735,49;0,0;100,0;100,0;511,7;8,97
HLYY07FTD;179946,5;0,0;100,0;100,0;6131,56;7,1
